Usuario,Mensagem,Localizacao
regelii_,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
wlissesv,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,São Paulo - Brasil
medmarco17,"RT @filipebragaf: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
maricampeao,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",Manaus
OdaSchwan,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,
_apaullav,Valeu muuuuito ficar acordada até agora. #EuVoto30 #JoãoNoJN #Eleições2018 #LulaInelegivel #LulaNaCadeia #MPN… https://t.co/9FOX6ZUyzp,
IlsonMulini,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,
marisantos95_rj,"RT @Lennilson10: EU ACHEI QUE ERA SACANAGEM, MAS EU OUVI MAIS PROPOSTAS EM 1 MINUTO DO QUE TODOS OS OUTROS EM 27 MINUTOS ESSA SEMANA KKKKKK…",RJ/Brasil
cacilacarvalho,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,"Mato Grosso do Sul, Brasil"
BordaMoletta,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",Uruguaiana-RS
andrebuenogpe,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,
artr00,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,
ggomiero,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
Telmandrad,RT @joaoamoedonovo: Começou o @jornalnacional! #JoãoNoJN,"São Paulo, SP"
danpolastri,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Londrina, Brasil"
xexeucruel,"Vou me virar nos 30 nessa eleição.
#JoãoNoJN foi rápido e dinâmico.
@joaoamoedonovo",Campos Gerais-MG
ggomiero,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
caaamilaf_,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",Brasil
MrcioNogueira12,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
BrenoNB,RT @nubialaytynher: @joaoamoedonovo Só assisti O JN par causa de #JoãoNoJN,
sandraspf,A passagem pelo JN foi relâmpaga mas deixou o recado  #JoãoNoJN,Brazil
robsongomides,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",Beagá - MG
PeredoYao,continua no pensamento do individualismo... só continua...,Minha casa é meu país
jcnogueiras,"João Amoêdo flopado demais. Menos carismático que o Álvaro Dias
#JoãoNoJN","Rio de Janeiro, Brasil"
regelii_,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
brenbiscoitinho,"RT @_apaullav: @joaoamoedonovo é o cara!
#JoãoNoJN https://t.co/kc8NL6EWNW",
millaarrigo,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Vilhena, Brasil"
MrcioNogueira12,"RT @NelioSoares1991: #JoãoNoJN mesmo q por 1 minuto sinto me representado nesta eleições, como em nem uma outras tantas q participei anteri…",
millaarrigo,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Vilhena, Brasil"
_Gustavopfv,"Vamos lá, por uma nova política!  #JoãoNoJN","Inhapim, Minas Gerais"
srmv55,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,
RoseMaria563,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
adrianotomasoni,"Na Venezuela fizeram isso.
Tiraram os poderes dos políticos e colocaram na mão de movimentos sociais.👇🏻 só pra lemb… https://t.co/ZZlcugFM9C",
MBLeonino,O JN deveria fazer uma semana com os outros candidatos menos votados nas pesquisas. #JoãoNoJN,Salvador - Bahia
MacedoTih,"RT @Garuti1985: #JoãoNoJN assim.como qualquer outro candidato, merece espaço para apresentar suas propostas e idéias, a Tv e imprensa em ge…",São Bernardo do Campo
RodrigoBarcat,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Brasília, Brazil"
sistemas_0sx,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","São Paulo, Brasil"
FadimaBell,#JoãoNoJN arrasou! o voto do time aqui de casa ja é seu!,São Paulo
alexandrefc,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,valença ilhéus salvador bahia
danilogqrs,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,
hugoreiss21,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",Salvador
AbitbolMichelle,RT @joaoamoedonovo: Começou o @jornalnacional! #JoãoNoJN,Brasil
srmv55,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
lucasvazcorreia,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,Recife
RickoOli,@joaoamoedonovo #JoãoNoJN com 1 minuto teve mais conteúdo do que os candidatos mais bem colocados nas pesquisas.… https://t.co/3e5WWQzBdf,"Poá, Brasil"
MussaMauricio,#JoãoNoJN hora de mudanças reais e a única candidatura diferente destas que estão aí.,
tamiecristie,RT @joaoamoedonovo: Começou o @jornalnacional! #JoãoNoJN,
frankjuniorbr,"Queria estar assistindo o João Amoedo no JN
#JoãoNoJN","Dourados, Brasil"
betomagnetoo,"RT @_Gustavopfv: Vamos lá, por uma nova política!  #JoãoNoJN",Brasil
lucasdubigod,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Salvador, Brasil"
hugoreiss21,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",Salvador
JoseAdeildo,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",Brasil
tamiecristie,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
