Usuario,Mensagem,Localizacao
Ihamma_1,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…",nan
BiaRosenburg,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…","Rio de Janeiro, Brazil"
tvpajucara,"Com apenas 2% dos votos válidos, Meirelles coloca mais R$ 9 milhões na própria campanha https://t.co/oO8pa2T9yK  (v… https://t.co/TDuZyWF625","Alagoas, Brasil"
rglioche,"Amoêdo já acenou a Bolsonaro hoje e a tendência é que Henrique Meirelles, Álvaro Dias e Alckmin façam o mesmo nos p… https://t.co/C9AQz8oSK5","São Paulo, Brasil"
PedroGiovany,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…",Serra Negra
PartidoURD,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…",Venezuela
1guipontes,Pelo menos alguém vai chamar o Meirelles #Eleições2018,"São Paulo, Brasil"
JrBlazzi,@MauMeirelles Pesquisas datafolha/Ibope acertando com precisão de 2 pontos. Quem paga mais lidera  Ainda alguém con… https://t.co/EZnaQa7Rom,nan
scooliver,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…",Brasil
mayconkevinn,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…","Goiania,GO"
ThallysBAlm,"Boca de Urna Presidente

Bolsonaro 45
Haddad 28
Ciro 14
Alckmin 4
Amoedo 3
Marina 2
Alvaro, Daciolo, Boulos e Meirelles 1 cada
#Eleições2018","Maceió, AL, Brasil"
revistaabsurda,"AMOEDO LIDERANDO A SÉRIE B E PASSANDO A MARINA 

DACIOLO NA FRENTE DE MEIRELLES E BOULOS

HAUAHAUAHAUAHAAUAHAUAHAUA… https://t.co/VWVnStjkmm",nan
