Usuario,Mensagem,Localizacao
ammajucrf,"RT @opovoonline: ENTREVISTA | Ciro manda um “aí, dento!” na GloboNews para eleitor de Bolsonaro. https://t.co/ikZyyX8R3g #EleiçõesOPOVO #El…",nan
joao_P28,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,nan
ms10_silva,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Pernambuco, Brasil"
Rodrigop86,"O sentimento para o segundo turno da Eleição pra presidente.

#eleições2018
#EleNão https://t.co/tkoVWTpGM8",São Paulo - Sp
ViniAlexis,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",São Paulo
VeronicaSacer,É Bolsonaroooo,Rio de Janeiro
Marta30fgmailc1,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
Magno__ongaM,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
Uppereastboy,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,Na minha 
Ale_castilho860,"RT @lekocossu: Uma foto resumindo as eleições!
Estamos lutando, vamos chegar lá! Força Brasil!💪🇧🇷   😎👉👉

#Eleições2018 #BolsonaroPresidente…",Angra dos Reis/ Foz do Iguaçu
greatbarda,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",nan
pamelassantos21,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,na casa do caralho
Fentyyuks,"RT @DavidUlsss: A única região que o Bolsonaro não ganhou sabe qual foi?

Foi o nordeste 
Ele mesmo
Aquela região que é vítima de preconcei…",nan
herminioaneto,RT @guimenper: E mais relatos @TSEjusbr vão realmente permitir essa barbarie? #Bolsonaro #fraudeeleitoral #Eleições2018 https://t.co/bVF1HJ…,"Aracaju, Brasil"
Marston17Jhon,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
xxnicolly,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,sagitariana
kelmamilhomem5,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Califórnia, USA"
nabhan_pettri,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Cianorte, Brasil"
Rivaa97,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,may we meet again
EdilonJdeAraujo,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",nan
Ronyflasrn,"RT @lekocossu: Uma foto resumindo as eleições!
Estamos lutando, vamos chegar lá! Força Brasil!💪🇧🇷   😎👉👉

#Eleições2018 #BolsonaroPresidente…",nan
schioisdead,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,"São José dos Campos, Brasil"
pedropaulistano,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Laranjeiras, Rio de Janeiro"
HugoMCunha,RT @guimenper: E mais relatos @TSEjusbr vão realmente permitir essa barbarie? #Bolsonaro #fraudeeleitoral #Eleições2018 https://t.co/bVF1HJ…,"Parauapebas, Pará"
angstaekwoon,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,mariana • jululis
rraul_vit1,"#ViraViraClR0 #eleições2018 #17Neles Nordeste #ficatemer 

Que comece o choro !! https://t.co/eAjrEKuKmE",nan
avante_pt,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Santa Catarina, Brasil"
bzzIew,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,Luan follows 17/05/18 
milefelisberto,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,"Capão da Canoa, Brasil"
anasabecb,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,nan
Denys1971,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Curitiba, Brasil"
LVeltri23,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",Marechal Hermes
VoltouMansa,"RT @RenovaMidia: PSL, partido do candidato Jair Bolsonaro, terá a segunda maior bancada da Câmara, com 51 deputados. Antes disso, a legenda…","Florianópolis, Brasil"
malfeitos,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Brasil, Rio de Janeiro - RJ"
grettyskl,"Obrigada, mais una vez, Norte/Nordeste! #Eleiçoes2018 #HaddadPresidente #EleNão #EleNunca",nan
GUMnoSTF,"RT @RenovaMidia: PSL, partido do candidato Jair Bolsonaro, terá a segunda maior bancada da Câmara, com 51 deputados. Antes disso, a legenda…","Rio de Janeiro, Brasil"
Luis_Shakur99,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Amadora, Portugal"
