Usuario,Mensagem,Localizacao
lmjaguarlizer,"RT @sz_hazza: Vamos juntar a torcida do Haddad, com a do Ciro, da Marina, do Geraldo Alckmin, Daciolo, Boulos e ir td contra o bicarbonaro…",10.12.18
vkuhnn,brasil não merece o boulos,"Porto Alegre, Brasil"
dinahstyisme,"RT @sz_hazza: Vamos juntar a torcida do Haddad, com a do Ciro, da Marina, do Geraldo Alckmin, Daciolo, Boulos e ir td contra o bicarbonaro…",esse é o perfil mais lgbt
achelecharlie,"RT @sz_hazza: Vamos juntar a torcida do Haddad, com a do Ciro, da Marina, do Geraldo Alckmin, Daciolo, Boulos e ir td contra o bicarbonaro…","Belo Horizonte, Brasil"
marginalvirtual,"Espero que se juntemos eleitores do @GuilhermeBoulos @cirogomes @MarinaSilva contra o facismo, o golpe e o preconce… https://t.co/s7NfMmPn1d","Fortaleza, Brasil"
LMJM_KCCE_,"RT @sz_hazza: Vamos juntar a torcida do Haddad, com a do Ciro, da Marina, do Geraldo Alckmin, Daciolo, Boulos e ir td contra o bicarbonaro…",Expectations 
LauraMoojen,RT @vkuhnn: brasil não merece o boulos https://t.co/6c4T9EU21R,na tua
wantsjaureguix,"RT @sz_hazza: Vamos juntar a torcida do Haddad, com a do Ciro, da Marina, do Geraldo Alckmin, Daciolo, Boulos e ir td contra o bicarbonaro…",ex: austinobody
gleif_,"Gente, provavelmente haverá um segundo turno. Precisamos nos juntar, eleitores de Boulos, Marina, Haddad, Ciro e qu… https://t.co/ZwMaJkN9gi","São Paulo, Brasil"
kcelaur,"RT @sz_hazza: Vamos juntar a torcida do Haddad, com a do Ciro, da Marina, do Geraldo Alckmin, Daciolo, Boulos e ir td contra o bicarbonaro…",єxρєcтαтıσns 12.10.18
helderbgk,"RT @g1saopaulo: O candidato do PSOL na eleição para presidente, Guilherme Boulos, chega com as filhas para votar na PUC-SP #Eleições2018 ht…",nan
nana_mendes,"É sério que o Daciolo tem mais votos que o Boulos e a Marina?
O Brasil tá MUITO errado!
#Eleições2018","São Paulo, Brasil"
sehuniverss,"RT @sz_hazza: Vamos juntar a torcida do Haddad, com a do Ciro, da Marina, do Geraldo Alckmin, Daciolo, Boulos e ir td contra o bicarbonaro…",Exo Planet
HAYLEYSOFANCY,"RT @sz_hazza: Vamos juntar a torcida do Haddad, com a do Ciro, da Marina, do Geraldo Alckmin, Daciolo, Boulos e ir td contra o bicarbonaro…","my heart belongs to you, Geórgia ❤  •@purpozme ❤"
