Usuario,Mensagem,Localizacao
luaneternoamorr,"Como esse anjo não ganhou? 
#Ciro12 #Eleições2018 https://t.co/NvPwMMwhvK","Rio de Janeiro, Brasil"
NiltonPessoaa,"Eu votei com consciência em Ciro e não me arrependo, assim como quem votou em Haddad desde o início não deve carreg… https://t.co/HZZ9Oj7XQs",Natal/RN - Brasil
evenusiana,"RT @rglioche: -Ciro, pra onde vc tá indo nesse momento?
-Eu tô indo ali no barzinho
Melhor entrevista pós-derrota em uma eleição ever
#Elei…",nan
myllachriiistie,"RT @opovoonline: ENTREVISTA | Ciro manda um “aí, dento!” na GloboNews para eleitor de Bolsonaro. https://t.co/ikZyyX8R3g #EleiçõesOPOVO #El…",Fortaleza
oAdvogad0,"Nordeste ‘atrapalhou’ Bolsonaro? Não! Foram VALENTES em não permitir avanço do Haddad e Ciro

Em quase todos os est… https://t.co/ZN1C5oery8","São Bernardo do Campo, Brasil"
biaestr3la,"RT @Cecillia: “Ele não, sem dúvidas” - Ciro Gomes ao vivo na Globo News #Eleições2018",your heart
ParkLarii_,"RT @Cecillia: “Ele não, sem dúvidas” - Ciro Gomes ao vivo na Globo News #Eleições2018","São Paulo, Brazil"
MaeliShaianne,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Brasil
CalaisAaBocaaa,"RT @rraul_vit1: #ViraViraClR0 #eleições2018 #17Neles Nordeste #ficatemer 

Que comece o choro !! https://t.co/eAjrEKuKmE","Timóteo, Brasil"
michelebnh,"RT @dconline: Ciro Gomes nega apoio a Jair Bolsonaro no segundo turno: ""Ele, não, sem dúvida"" https://t.co/0LJ9apjYt9 #Eleições2018 #Eleiçã…","Santa Catarina, Brasil"
homofobiaNAO,"Ciros, Marinas, Vera Lúcia, vamos juntos? #AgoraÉHaddad #HaddadÉ13",nan
1psicopatar,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Ceará, Brasil"
JuniorVieira07,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Teresina, Brasil"
marceloverly,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Nova Friburgo, RJ"
arturzii,"EM QUEM VOCÊS VÃO VOTAR NO 2° TURNO?

Nordeste #FicaTermer #ViraViraClR0 #Eleições2018 Ceará #Nordeste",nan
YasmineSena,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Belo Horizonte
warkentien2,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Florianópolis, Brazil"
ibrakillaferras,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Matipó
_rx17,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Rio de Janeiro, Brasil"
Jinksbaeklu,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",fora do azul
notsociavel,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",Belém of the Stop
Menino__Ghost,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",nan
SteinerWarley,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",nan
Felps2019,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Brasília, Brasil"
joao_rokr,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Minas Gerais, Brasil"
NusaAlex,"RT @MorganaPimmy: #Eleições2018
Só para finalizar o assunto sobre política.
Atenção quem votou no Ciro, vai continuar com o nome no SPC viu.","porto seguro,bahia"
thenamerick,"RT @homofobiaNAO: Ciros, Marinas, Vera Lúcia, vamos juntos? #AgoraÉHaddad #HaddadÉ13 https://t.co/wC9QWMHbvM",nan
rainbowlay_,"RT @luaneternoamorr: Como esse anjo não ganhou? 
#Ciro12 #Eleições2018 https://t.co/NvPwMMwhvK",nan
ActJeefs,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Brasil
bieberrainha1,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Rio de Janeiro, Brasil"
daninosferatu,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","SP, Brasil 🇧🇷"
MusoDaLateral2,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Rio Grande do Norte, Brasil"
Cutie_aegi,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Santa Catarina, Brasil"
jessicamarquest,"Se Ciro disse, tá dito! #Haddad13 #ocoisonao #elenão",Porto Alegre/ RS
joaopgomesrocha,"RT @Cecillia: “Ele não, sem dúvidas” - Ciro Gomes ao vivo na Globo News #Eleições2018",nao interessa    gLÓRIA A DEUS
marcusvaliatti,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",nan
queenxblack,"RT @bchartsnet: Boca de Urna para Presidente IBOPE:

Jair Bolsonaro (PSL) 45%
Fernando Haddad (PT) 28%
Ciro Gomes (PDT) 14%

#Eleições2018",onde é que eu to nessa porra?
