Usuario,Mensagem,Localizacao
RNoveletto,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Brazil
MariaVi382,"RT @JuniiorDiniz: Se os eleitores que votarem no Ciro Gomes, Geraldo Alckmin, João Amôedo, Daciolo e outros... Votarem em peso no Haddad no…","Rio de Janeiro, Brasil"
ezegiletta,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…","Buenos Aires, Argentina"
arielsanmartine,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",nan
redkookie_j,"RT @JuniiorDiniz: Se os eleitores que votarem no Ciro Gomes, Geraldo Alckmin, João Amôedo, Daciolo e outros... Votarem em peso no Haddad no…","Maceió, Brasil"
Guine_SPFC,"Parabéns ao eleitor que ficou com @geraldoalckmin, @joaoamoedonovo, @cirogomes, @MarinaSilva, @alvarodias_,… https://t.co/mUOSQgvbf9",Brasil
tatianaqo,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/2pMB…,Fortaleza/Ce
Guine_SPFC,"Parabéns ao @geraldoalckmin ! Sem dúvida o melhor candidato, as circunstâncias tiraram ele do páreo... Eleição pleb… https://t.co/jWiDxNSaZD",Brasil
CamargoMarcel,"Alckmin, veja essa sua porcentagem pequenininha. Agora lembra a porcentagem de aumento que seu governo oferecia aos… https://t.co/DGvCr5GpIN",Limeira-SP
sawloreis,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Por aí
Guine_SPFC,"O @Rede45 como era de se esperar levou uma surra sem precedentes, a votação de @geraldoalckmin foi humilhante, aind… https://t.co/M8ycGVgnQi",Brasil
Pahodinha,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",.I.
AndimSPFC,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/2pMB…,Fortaleza - CE
VanessaMendesB1,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/Xl7s…,"Rio Verde, Brasil"
Suziane___,"RT @Guine_SPFC: Parabéns ao @geraldoalckmin ! Sem dúvida o melhor candidato, as circunstâncias tiraram ele do páreo... Eleição plebiscitari…",Brasil
Lourdesregina,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Paraná
TerceraDerivada,"RT @tferrerm: A presidente, al 50% escrutado:
Jair Bolsonaro 49,02%
Fernando Haddad 26,09%
Ciro Gomes 12,3%
Geraldo Alckmin 4,8%
João Amoed…",nan
pavmh,"RT @tferrerm: A presidente, al 50% escrutado:
Jair Bolsonaro 49,02%
Fernando Haddad 26,09%
Ciro Gomes 12,3%
Geraldo Alckmin 4,8%
João Amoed…","Concepción, Chile"
mgongoraf,"RT @tferrerm: A presidente, al 50% escrutado:
Jair Bolsonaro 49,02%
Fernando Haddad 26,09%
Ciro Gomes 12,3%
Geraldo Alckmin 4,8%
João Amoed…",En todos lados
elitobaron,"RT @tferrerm: A presidente, al 50% escrutado:
Jair Bolsonaro 49,02%
Fernando Haddad 26,09%
Ciro Gomes 12,3%
Geraldo Alckmin 4,8%
João Amoed…",nan
karinaacorreac,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","Natal, Brasil"
CamusSantana,"RT @tferrerm: A presidente, al 50% escrutado:
Jair Bolsonaro 49,02%
Fernando Haddad 26,09%
Ciro Gomes 12,3%
Geraldo Alckmin 4,8%
João Amoed…","Santiago, Chile"
