Usuario,Mensagem,Localizacao
JoePensador,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Massachusetts, USA"
laurxnswift,Como assim Marina?,nan
giovannaspsbs,RT @CleberMelo81: Impressionante o Amoêdo sem ter participado de NENHUM debate ter ficado melhor que Marina Silva e Meirelles #Eleições2018,nan
taurinatuita,"RT @naituita: a marina atrás de daciolo, amoedo, meirelles e álvaro................ https://t.co/541vGOVxVT",nan
Gabriel50012548,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Natal, Brasil"
jottar81,"Marina é uma piada no resultado das apurações 
Alckmin mais tempo de propaganda e um quarto lugar, péssimo!… https://t.co/fptl5u9DFt",Santos Brasil
AndersonVeloso1,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,nan
pilotsgmz,A Marina pqp,Tøp▪sg▪mc▪ddl▪jt▪Yellow claw
OliveiraJair,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,Palhoça
karmelizer,Daciolo passou a Marina #Eleições2018,nan
xArthirio,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,São Paulo Futebol Clube
SirKingArnold,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,nan
GuiBrunoS,"Coitada da Marina gente, Massacrada #Eleições2018",nan
LeandroMartyns1,"Marina sendo jogada na BR, perdendo até pra Daciolo, Álvaro e Amoedo, coitada #Eleições2018","Ipatinga, Brasil"
micristini,"Cadê a Marina?
#Daciolo na frente de #MarinaSilva? É sério?

#NãoAcreditoEmPesquisaComprada
#Eleições2018",Brasil
fernandobnusc,Maiores decepções nas urnas foram: #Marina18 #Geraldo45 #meirelles e os eleitores que votaram no #PT depois de tudo… https://t.co/JXdi8ohK1b,BLUMENAU
marceloo_ap,"Mano, a Marina tá com menos voto que o Cabo Daciolo. #Eleições2018","Rio Verde, Brasil"
DanSouza1988,RT @ThallysBAlm: E a Marina com MENOS DE 1%. Pra quem já chegou a 21% na outra eleição... Caramba. #Eleições2018,"Gaspar, SC, Brasil"
