Usuario,Mensagem,Localizacao
LeandroMartyns1,"Marina sendo jogada na BR, perdendo até pra Daciolo, Álvaro e Amoedo, coitada #Eleições2018","Ipatinga, Brasil"
douglaswill92,"57% urnas apuradas - #eleições2018

Bozonaro - 48,94%
Haddad - 26,30%
Ciro - 12,17%
Alckmin - 4,87%
Amoêdo - 2,75%",Estado de São Paulo / Brasil
pohalern,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",lugar nenhum 
DanSouza1988,"RT @LeandroMartyns1: Marina sendo jogada na BR, perdendo até pra Daciolo, Álvaro e Amoedo, coitada #Eleições2018","Gaspar, SC, Brasil"
DanielMkrio,Amoêdo na frente do daciolo como assim ???,Campo Grande
chuvasdeprata7,Não consigo acreditar Amoêdo que nem participou dos debates porque não atingiu 6% está ganhando da Marina Silva.… https://t.co/a5kYuAfvi3,Brasil
EduardoHideoK,"RT @LeandroMartyns1: Marina sendo jogada na BR, perdendo até pra Daciolo, Álvaro e Amoedo, coitada #Eleições2018","São Paulo, Brasil"
jamesflu,"RT @CorrupcaoMemes: @joaoamoedonovo  indo votar em sí mesmo, agora tendo um total de 1 voto !
#OndaLaranja 
#Eleições2018 https://t.co/esk6…",Manhumirim - MG
whoeni,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","São Paulo, Brasil"
gomezcarolinee,@joaoamoedonovo aparecendo em quinto!!! Já é uma boa visão obrigada onda laranja que não desistiu de representar 🧡🌊🍊#Eleições2018,nan
clara_pansani,"os humilhados serão exaltados e os últimos serão os primeiros, amoêdo, aguarde.","Estrela d'Oeste, Brasil"
Brucckk_,#Eleições2018 Fortnite Battle Royale #Amoedo30 - Ao Vivo -- RESULTADOSSS!!!!!!: https://t.co/vIjRVPG5b1 via @YouTube,Brasil
UchoaJournalist,"A melhor frase na Globonews @GloboNews até agora: ""Marina Silva consegue ficar atrás do Amoedo"".
#eleições2018 #Eleições2018",Brasília - Distrito Federal
vinnybrandt,"Amoêdo com 2,75% de votos válidos. Mais do que a votação SOMADA de Meirelles e Cabo Daciolo #Eleições2018",Rio de Janeiro
gagaprostituto,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",reasonjimin ♡ #Tondy
FabianoCFX,"RT @TTsBrasilNews: BOCA DE URNA PRESIDENCIAL - Bolsonaro, 45%; Haddad, 28%; Ciro, 14%; Alckmin, 4%; Amoêdo, 3%; Marina, 2% #EleiçõesNoTTs #…",Rio de Janeiro
whipmyoongi,"RT @sailoratlantis: Dublin - Irlanda #eleições2018

1. Ciro Gomes (369 votos)
2. Bolsonaro (366 votos)
3. Amoedo (100 votos)
4. Haddad (77…",Justin followed me 11/05 /16
GabrielGuerson,"RT @vinnybrandt: Amoêdo com 2,75% de votos válidos. Mais do que a votação SOMADA de Meirelles e Cabo Daciolo #Eleições2018",rio de janeiro
MrVingann,"#Eleições2018 49%, aquele apoio do amoedo que fez falta, que todo mundo se recusou a dar por achar que mesmo com a… https://t.co/7nkY8g4UNE",Guaíba - RS
fakeviniv,E a marina gente? Ela fez uma puta campanha e com um puta plano de governo! E no fim foi passada ate por AMOEDO????… https://t.co/xxUoG0Z2ri,nan
_bixapreta,"Amoedo ficou na frente da marina velho,  que louco",Salvador/ Ba.
Lodge_Cheryl10,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",honeymoon ave
MaciMarcus,"@partidonovo30 e @joaoamoedonovo , não errem! Se aproximem programaticamente de @jairbolsonaro pelo bem de Minas! V… https://t.co/0fymNVGOXT",nan
minzyfav,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",squad ♡ • fan account
NelsinhoRP,"Agora quero ver se quem votou em @cirogomes, @MarinaSilva, @geraldoalckmin e @joaoamoedonovo, num possível segundo… https://t.co/kl7QPM9fE0",Brasília DF
bcbazanelli,É uma pena o Amoedo só ter tido 2% de votos! O cara é fera!,nan
RFchimas,Amoêdo é grande surpresa desta eleição para presidente. #Eleições2018 #G1 #NOVO30 https://t.co/gY6ul0clOe,Osasco - São Paulo
